"Image_date","area_kelp","Year","month","day","hour","Caldera","Valparaiso","tide","tide.caldera","tide.valparaiso","localpass","perfecttide","perfect.tide.sat"
2015-08-18,1.11115431908333,2015,8,18,12,1.066,0.46,"low","low","low","oksatellite","perfecttide","perfect satellite"
2015-08-18,1.11115431908333,2015,8,18,11,0.864,0.3,"low","low","low","oksatellite","perfecttide","perfect satellite"
2016-08-22,0.5993380485,2016,8,22,11,0.709,0.14,"low","low","low","oksatellite","perfecttide","perfect satellite"
2016-08-22,0.5993380485,2016,8,22,12,0.888,0.26,"low","low","low","oksatellite","perfecttide","perfect satellite"
2016-12-20,5.702014664,2016,12,20,12,0.783,0.44,"low","low","low","oksatellite","perfecttide","perfect satellite"
2016-12-20,5.702014664,2016,12,20,11,0.949,0.69,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-01-19,1.77012887075,2017,1,19,11,1.014,0.68,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-01-19,1.77012887075,2017,1,19,12,0.918,0.54,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-02-18,5.7841075885,2017,2,18,12,0.995,0.59,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-02-18,5.7841075885,2017,2,18,11,1.054,0.65,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-03-30,1.4134341525,2017,3,30,11,0.966,0.29,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-04-29,0.99718504575,2017,4,29,11,0.878,0.27,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-04-29,0.99718504575,2017,4,29,12,1.144,0.57,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-06-28,21.089694315,2017,6,28,11,0.744,0.32,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-06-28,21.089694315,2017,6,28,12,0.833,0.35,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-07-28,11.63945604,2017,7,28,12,0.871,0.29,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-07-28,11.63945604,2017,7,28,11,0.806,0.32,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-08-12,2.05603012833333,2017,8,12,11,0.762,0.31,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-08-12,2.05603012833333,2017,8,12,12,0.895,0.37,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-09-21,2.95374752,2017,9,21,11,1.073,0.42,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-10-11,4.821864284,2017,10,11,11,0.772,0.37,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-10-11,4.821864284,2017,10,11,12,0.7,0.2,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-10-21,14.705681972,2017,10,21,12,1.179,0.56,"low","low","low","oksatellite","perfecttide","perfect satellite"
