"Image_date","area_kelp","Year","month","day","hour","Caldera","Valparaiso","tide","tide.caldera","tide.valparaiso","localpass","perfecttide","perfect.tide.sat"
2015-08-18,1.716519732,2015,8,18,12,1.066,0.46,"low","low","low","oksatellite","perfecttide","perfect satellite"
2015-08-18,1.716519732,2015,8,18,11,0.864,0.3,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-01-19,3.5290647385,2017,1,19,11,1.014,0.68,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-01-19,3.5290647385,2017,1,19,12,0.918,0.54,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-02-18,1.559743283,2017,2,18,12,0.995,0.59,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-02-18,1.559743283,2017,2,18,11,1.054,0.65,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-04-29,0.611950051,2017,4,29,11,0.878,0.27,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-04-29,0.611950051,2017,4,29,12,1.144,0.57,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-06-28,3.251858968,2017,6,28,12,0.833,0.35,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-06-28,3.251858968,2017,6,28,11,0.744,0.32,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-10-21,1.265867352,2017,10,21,12,1.179,0.56,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-10-21,1.265867352,2017,10,21,11,0.929,0.31,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-11-10,1.274262848,2017,11,10,12,0.764,0.4,"low","low","low","oksatellite","perfecttide","perfect satellite"
2017-11-10,1.274262848,2017,11,10,11,0.938,0.64,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-02-08,3.5406421395,2018,2,8,12,1.042,0.69,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-03-05,0.5956939965,2018,3,5,11,0.64,0.19,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-03-05,0.5956939965,2018,3,5,12,0.812,0.3,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-03-10,4.812122436,2018,3,10,12,1.022,0.74,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-03-10,4.812122436,2018,3,10,11,1.134,0.78,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-03-20,6.1874180475,2018,3,20,11,0.836,0.28,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-03-20,6.1874180475,2018,3,20,12,1.092,0.46,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-03-25,1.1749578695,2018,3,25,11,1.091,0.77,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-03-25,1.1749578695,2018,3,25,12,0.984,0.66,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-04-19,1.665625385,2018,4,19,11,0.887,0.37,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-04-19,1.665625385,2018,4,19,12,1.108,0.58,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-05-04,1.6836172595,2018,5,4,11,0.949,0.48,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-05-04,1.6836172595,2018,5,4,12,1.074,0.58,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-06-03,2.210820816,2018,6,3,11,0.939,0.44,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-06-03,2.210820816,2018,6,3,12,1.031,0.5,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-07-18,6.0510906545,2018,7,18,11,0.836,0.44,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-07-18,6.0510906545,2018,7,18,12,0.79,0.35,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-07-28,0.6205249285,2018,7,28,11,1.207,0.64,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-09-01,5.913176151,2018,9,1,11,0.839,0.39,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-09-01,5.913176151,2018,9,1,12,0.852,0.35,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-10-01,1.942152046,2018,10,1,12,0.923,0.47,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-10-01,1.942152046,2018,10,1,11,1.015,0.59,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-10-26,3.9315727625,2018,10,26,11,1.006,0.33,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-10-31,2.8922247395,2018,10,31,11,1.06,0.66,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-10-31,2.8922247395,2018,10,31,12,0.911,0.46,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-11-15,0.9268528965,2018,11,15,12,1.051,0.7,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-11-25,1.812545855,2018,11,25,11,0.899,0.28,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-11-25,1.812545855,2018,11,25,12,1.125,0.47,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-12-10,1.683783023,2018,12,10,12,0.838,0.29,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-12-10,1.683783023,2018,12,10,11,0.726,0.2,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-12-15,7.5571998425,2018,12,15,12,0.925,0.54,"low","low","low","oksatellite","perfecttide","perfect satellite"
2018-12-15,7.5571998425,2018,12,15,11,1.056,0.72,"low","low","low","oksatellite","perfecttide","perfect satellite"
